Serial Number,Make,Model,Type,Year,Drivetrain,Power(hp),Cylinders,Displacement(Litres),Seating,Torque(lbs-ft),Mileage-city(miles/gallon),Fuel Tank Capacity(gal),Wheelbase(inches),Ground Clearance(inch),Curb weight(lbs),Length(inch),Height(inch),Width(inch),Turning Radius(ft),Gearbox
29,BMW,3 Series,Sedan,2012,RWD,240,4,2,5,255,23,15.8,110.6,5.5,3406,182.5,56.3,71.3,-1,8-speed automatic
30,BMW,3 Series,Wagon,2012,AWD,230,6,3,5,200,17,16.1,108.7,5.5,3770,178.6,55.8,71.5,19.3,6-speed manual
31,BMW,6 Series,Convertible,2007,RWD,360,8,4.8,4,360,14,18.5,109.4,-1,4277,190.2,54.1,73,18.7,6-speed manual
32,BMW,X5,SUV,2007,AWD,260,6,3,5,225,17,22.5,115.5,8.3,4982,191.1,69.5,76.1,21,6-speed automatic
33,BMW,X6,SUV,2012,AWD,300,6,3,4,300,16,22.5,115.5,8.3,4784,192.1,66.5,78.1,21,8-speed automatic
34,BMW,M3,Coupe,2012,RWD,414,8,4,4,295,14,16.6,108.7,-1,3704,181.8,55.8,71,19.2,6-speed manual
35,BMW,M5,Sedan,2010,RWD,500,10,5,5,383,11,18.5,113.7,5.59,4012,191.5,57.8,72.7,20.4,7-speed auto-shift manual
36,BMW,M6,Convertible,2010,RWD,500,10,5,4,383,11,18.5,109.5,4.21,4398,191.8,54.2,73,20.5,7-speed auto-shift manual
37,BMW,X3,SUV,2012,AWD,240,6,3,5,221,19,17.7,110.6,8.3,4112,183,65.4,74.1,19.5,8-speed automatic
38,BMW,Z4,Convertible,2012,RWD,240,4,2,2,260,23,14.5,98.3,5.1,3263,166.9,50.8,70.5,17.5,6-speed manual
39,Bentley,Continental Supersports Conv.,Convertible,2012,AWD,621,12,6,2,590,12,23.8,108.1,4.5,5280,189.1,54.3,76.6,18.4,6-speed automatic
40,Bentley,Arnage,Sedan,2009,RWD,450,8,6.8,5,645,12,25.3,122.7,5.9,5699,212.2,59.6,76.1,20.3,6-speed automatic
41,Bentley,Mulasanne,Sedan,2011,RWD,505,8,6.8,5,752,11,25.4,128.6,6.69,5699,219.5,59.9,75.8,-1,8-speed automatic
42,Bentley,Continental GT,Coupe,2012,AWD,567,12,6,4,516,12,24,108.1,5.59,5115,189.2,55.3,75,18.5,6-speed automatic
43,Bentley,Continental GT,Coupe,2007,AWD,552,12,6,4,479,12,23.8,108.1,5.59,5320,189.3,54.7,75.4,18.4,6-speed automatic
44,Bentley,Continental Flying Spur,Sedan,2007,AWD,552,12,6,5,479,11,23.8,120.7,5.59,5456,208.3,27.9,75.4,19.4,6-speed automatic
45,Bugatti,Veyron 16.4,Convertible,2009,AWD,1001,16,8,2,922,8,26.4,106.7,2.6,4387,175.7,47.4,78.7,25,7-speed auto-shift manual
46,Bugatti,Veyron 16.4,Coupe,2009,AWD,1001,16,8,2,922,8,26.4,106.7,2.6,4162,175.7,45.6,78.7,25,7-speed auto-shift manual
47,Buick,Regal,GS,2012,FWD,270,4,2,5,295,19,18,107.8,6.4,3710,190.2,58,73.1,18.7,6-speed manual
48,Buick,Rainier,SUV,2007,AWD,291,6,4.2,5,277,15,22,113,8,4600,193.4,74.5,75.4,18.2,4-speed automatic
49,Buick,Verano,Sedan,2012,FWD,180,4,2.4,5,171,21,15.6,105.7,-1,3300,183.9,58.1,71.4,18,6-speed automatic
50,Buick ,Enclave ,SUV,2012,FWD,288,6,3.6,7,270,17,22,118.9,8.4,4780,201.8,72.5,79,20.2,6-speed automatic
51,Cadillac ,CTS-V,Sedan,2012,RWD,556,8,6.2,5,551,14,18,113.4,-1,4213,191.6,58,72.5,19,6-speed manual w/OD
52,Cadillac ,SRX,SUV,2012,FWD,308,6,3.6,5,265,17,21,110.5,7,4277,190.3,65.7,75.2,20.2,6-speed automatic w/OD and auto-manual
53,Cadillac ,Escalade EXT,Crew Cab,2007,AWD,403,8,6.2,5,417,13,31,130,-1,5838,222,74.5,79.1,21.5,6-speed automatic w/OD and auto-manual
54,Chevrolet,Silverado 1500 Hybrid,Crew Cab,2012,FWD,315,8,5.2,5,335,15,34,157.5,9.2,-1,249.2,73.6,80,-1,6-speed shiftable automatic
55,Chevrolet,Corvette,Convertible,2012,RWD,430,8,6.2,2,424,16,18,105.7,-1,3208,174.6,49.1,72.6,19.5,6-speed manual w/OD
56,Chevrolet,Corvette ZR1,Coupe,2012,RWD,430,8,6.2,2,424,16,18,105.7,-1,3208,174.6,49.1,72.6,19.5,6-speed manual w/OD
57,Chevrolet,Corvette Ron Fellows Edition Z06,Convertible,2007,RWD,430,8,6.2,2,424,16,18,105.7,-1,3208,174.6,49.1,72.6,19.5,6-speed manual w/OD
58,Chevrolet,Traverse,SUV,2012,FWD,281,6,3.6,8,266,17,22,118.9,7.2,4658,205,70.4,78.4,20.2,6-speed automatic w/OD and auto-manual
59,Chevrolet,Camaro,Convertible,2012,RWD,323,6,3.6,4,278,17,19,112.3,-1,3780,190.4,54.2,75.5,18.9,6-speed manual w/OD
60,Chevrolet,HHR ,SS,2010,FWD,155,4,2.2,2,150,22,16,103.2,6.3,3155,176.2,63.1,69.1,18,5-speed manual w/OD
61,Chevrolet,Impala,Sedan,2007,FWD,211,6,3.5,5,214,21,17,110,7.1,3555,200.4,58.7,72.9,19,4-speed automatic w/OD
62,Chevrolet,Tahoe Hybrid,SUV,2012,RWD,332,8,6,8,367,20,25,116,9.5,5598,202,74.6,79,19.5,4-speed automatic/CVT w/OD and auto-manual
63,Chevrolet,Sonic,Sedan,2012,FWD,138,4,1.8,5,125,26,12.2,99.4,-1,2721,173.1,59.7,68.3,17.3,5-speed manual w/OD
64,Chevrolet,Express,Cargo Van,2007,RWD,195,6,4.3,2,260,15,31,135,7.6,4894,224.1,81.6,79.4,24.3,4-speed automatic w/OD
65,Chevrolet,Avalanche,Crew Cab,2012,RWD,320,8,5.3,5,335,15,31,130,9.1,5840,221.3,76.6,79.1,21.5,6-speed automatic w/OD and auto-manual
66,Chevrolet,Cobalt,SS,2010,FWD,155,4,2.2,5,150,25,13,103.3,5.3,2721,180.5,55.5,67.9,16.7,5-speed manual w/OD
67,Chevrolet,Malibu Hybrid,Sedan,2010,FWD,169,4,2.4,5,160,22,16,112.3,-1,3415,191.8,57.1,70.3,20.2,4-speed automatic w/OD
68,Chevrolet,TrailBlazer,SS,2009,RWD,285,6,4.2,5,276,14,22,113,7.8,4356,191.8,75.5,74.7,18.2,4-speed automatic w/OD
69,Chevrolet,Silverado 2500HD Regular Cab,Crew Cab,2012,FWD,315,8,5.2,5,335,15,34,157.5,9.2,-1,249.2,73.6,80,-1,6-speed shiftable automatic
70,Chevrolet,Silverado 1500 Classic Extended Cab,Crew Cab,2012,FWD,315,8,5.2,5,335,15,34,157.5,9.2,-1,249.2,73.6,80,-1,6-speed shiftable automatic
71,Chevrolet,Express,Van,2007,RWD,195,6,4.3,2,260,15,31,135,7.6,4894,224.1,81.6,79.4,24.3,4-speed automatic w/OD
72,Chevrolet,Monte Carlo,Coupe,2007,FWD,211,6,3.5,5,214,21,17,110.5,-1,3354,196.7,55.8,72.9,19,4-speed automatic w/OD
73,Chevrolet,Malibu  ,Sedan,2007,FWD,144,4,2.2,5,155,24,16.1,106.3,6,3174,188.3,57.5,69.9,18,4-speed automatic w/OD
74,Chevrolet,Silverado 1500 Extended Cab,Crew Cab,2012,FWD,315,8,5.2,5,335,15,34,157.5,9.2,-1,249.2,73.6,80,-1,6-speed shiftable automatic
75,Chevrolet,Silverado 1500 Regular Cab,Crew Cab,2012,FWD,315,8,5.2,5,335,15,34,157.5,9.2,-1,249.2,73.6,80,-1,6-speed shiftable automatic
76,Chrysler,Aspen,SUV,2009,RWD,303,8,4.7,8,330,14,27,119.2,6.9,4866,202.1,73.6,76,18.5,5-speed multi-speed automatic w/OD
77,Chrysler,Sebring,Convertible,2010,FWD,189,6,2.7,4,191,18,16.9,108.9,5.3,3847,193.8,58.5,71.5,18.3,4-speed automatic w/OD
78,Chrysler,Town and Country,Minivan,2012,FWD,283,6,3.6,7,260,17,20,121.2,5.6,4652,202.8,67.9,78.7,19.6,6-speed multi-speed automatic w/OD and auto-manual
79,Chrysler,300 SRT-8,Sedan,2010,RWD,178,6,2.7,5,190,18,18,120,5.6,3712,196.8,58.4,74.1,19.4,4-speed automatic w/OD
80,Chrysler,Crossfire,Convertible,2008,RWD,215,6,3.2,2,229,15,15.9,94.5,4.9,3061,159.8,51.5,69.5,16.1,6-speed manual w/OD
81,Chrysler,PT Cruiser,Convertible,2008,FWD,150,4,2.4,5,165,21,15,103,6,3147,168.9,63,67.1,18.3,5-speed manual w/OD
82,Daewoo,Nubira,Wagon,2002,FWD,129,4,2,5,136,22,13.7,101.2,-1,2800,177,56.3,66.9,17.4,5-speed manual w/OD
83,Dodge,Caliber,Wagon,2012,FWD,158,4,2,5,141,24,13.6,103.7,7.7,2940,173.8,60.4,68.8,17.7,5-speed manual w/OD
84,Dodge,Caliber,Wagon,2007,FWD,148,4,1.8,5,125,28,13.6,103.7,7,2966,173.8,60.4,68.8,18.6,5-speed manual w/OD
